julian, epoch, x, y, z, vx, vy, vz, LT, RG, RR
2482225.500000000, A.D. 2084-Jan-01,0,0,0,0,0,0,0,0,0
2482407.500000000, A.D. 2084-Jul-01,0,0,0,0,0,0,0,0,0
2482591.500000000, A.D. 2085-Jan-01,0,0,0,0,0,0,0,0,0
2482772.500000000, A.D. 2085-Jul-01,0,0,0,0,0,0,0,0,0
2482956.500000000, A.D. 2086-Jan-01,0,0,0,0,0,0,0,0,0
2483137.500000000, A.D. 2086-Jul-01,0,0,0,0,0,0,0,0,0
2483321.500000000, A.D. 2087-Jan-01,0,0,0,0,0,0,0,0,0
2483502.500000000, A.D. 2087-Jul-01,0,0,0,0,0,0,0,0,0
2483686.500000000, A.D. 2088-Jan-01,0,0,0,0,0,0,0,0,0
2483868.500000000, A.D. 2088-Jul-01,0,0,0,0,0,0,0,0,0
2484052.500000000, A.D. 2089-Jan-01,0,0,0,0,0,0,0,0,0
2484233.500000000, A.D. 2089-Jul-01,0,0,0,0,0,0,0,0,0
2484417.500000000, A.D. 2090-Jan-01,0,0,0,0,0,0,0,0,0
2484598.500000000, A.D. 2090-Jul-01,0,0,0,0,0,0,0,0,0
2484782.500000000, A.D. 2091-Jan-01,0,0,0,0,0,0,0,0,0
2484963.500000000, A.D. 2091-Jul-01,0,0,0,0,0,0,0,0,0
2485147.500000000, A.D. 2092-Jan-01,0,0,0,0,0,0,0,0,0
2485329.500000000, A.D. 2092-Jul-01,0,0,0,0,0,0,0,0,0
2485513.500000000, A.D. 2093-Jan-01,0,0,0,0,0,0,0,0,0
2485694.500000000, A.D. 2093-Jul-01,0,0,0,0,0,0,0,0,0
2485878.500000000, A.D. 2094-Jan-01,0,0,0,0,0,0,0,0,0
2486059.500000000, A.D. 2094-Jul-01,0,0,0,0,0,0,0,0,0
2486243.500000000, A.D. 2095-Jan-01,0,0,0,0,0,0,0,0,0
2486424.500000000, A.D. 2095-Jul-01,0,0,0,0,0,0,0,0,0
2486608.500000000, A.D. 2096-Jan-01,0,0,0,0,0,0,0,0,0
2486790.500000000, A.D. 2096-Jul-01,0,0,0,0,0,0,0,0,0
2486974.500000000, A.D. 2097-Jan-01,0,0,0,0,0,0,0,0,0
2487155.500000000, A.D. 2097-Jul-01,0,0,0,0,0,0,0,0,0
2487339.500000000, A.D. 2098-Jan-01,0,0,0,0,0,0,0,0,0
2487520.500000000, A.D. 2098-Jul-01,0,0,0,0,0,0,0,0,0
2487704.500000000, A.D. 2099-Jan-01,0,0,0,0,0,0,0,0,0
2487885.500000000, A.D. 2099-Jul-01,0,0,0,0,0,0,0,0,0
2488069.500000000, A.D. 2100-Jan-01,0,0,0,0,0,0,0,0,0
